CaseYear,OnStreet,Serious_and_Fatal_Injuries
2012,BROAD STREET EAST,0
2012,BROADMOOR TRAIL,0
2012,BROADWAY,0
2012,BROADWAY STREET,0
2012,BROCKLEY ROAD,0
2012,BROCKPORT HOLLEY ROAD,0
2012,BROCKPORT ROAD,0
2012,BROCKPORT SPENCERPORT ROAD,2
2012,BROCKPORT/SPENCERPORT ROAD,0
2012,BROCKWAY PLACE,0
2012,BRODERICK DRIVE,0
2012,BROEZEL STREET,0
2012,BROKEN HILL ROAD,0
2012,BROMLEY ROAD,0
2012,BROMSGROVE HILL,0
2012,BRONGO LANE,0
2012,BRONSON COURT,0
2012,BRONZE LEAF TRAIL,0
2012,BROOK HILL LANE,0
2012,BROOK MEADOWS TRAIL,0
2012,BROOK ROAD,0
2012,BROOK STREET,0
2012,BROOK TROUT LANE,0
2012,BROOKDALE AVENUE,0
2012,BROOKDALE PARK,0
2012,BROOKDALE PIKE,0
2012,BROOKDALE ROAD,0
2012,BROOKEDGE DRIVE,0
2012,BROOKEVILLE DRIVE,0
2012,BROOKFIELD ROAD,0
2012,BROOKHAVEN TERRACE,0
2012,BROOKLAWN DRIVE,0
2012,BROOKLEA DRIVE,0
2012,BROOKLYN STREET,0
2012,BROOKRIDGE DRIVE,0
2012,BROOKS AVENUE,4
2012,BROOKS AVENUE EXTENSION,0
2012,BROOKS ROAD,0
2012,BROOKSBORO DRIVE,0
2012,BROOKSHIRE LANE,0
2012,BROOKSIDE DRIVE,0
2012,BROOKSTONE BND,0
2012,BROOKTREE DRIVE,0
2012,BROOKVIEW DRIVE,0
2012,BROOKVIEW ROAD,0
2012,BROOKWOOD ROAD,0
2012,BROWER ROAD,0
2012,BROWN DRIVE,0
2012,BROWN ROAD,0
2012,BROWN STREET,0
2012,BROWNCROFT BOULEVARD,0
2012,BROWNCROFT ROAD,0
2012,BROWNS AVENUE,0
2012,BROWNS RACE,0
2012,BROWNS ROAD,0
2012,BROXBOURNE DRIVE,0
2012,BRU MAR DRIVE,0
2012,BRUNSWICK STREET,0
2012,BRUSH CREEK DRIVE,0
2012,BRYAN STREET,0
2012,BRYDEN PARK,0
2012,BRYN MAWR ROAD,0
2012,BUCK HILL ROAD,0
2012,BUCKHILL ROAD,0
2012,BUCKINGHAM STREET,0
2012,BUCKLAND AVENUE,0
2012,BUCKMAN ROAD,0
2012,BUCKWHEAT DRIVE,0
2012,BUELL DRIVE,0
2012,BUELL ROAD,0
2012,BUENA PLACE,0
2012,BUFFALO ROAD,10
2012,BUFFALO ROAD WEST,0
2012,BULL SAW MILL ROAD,0
2012,BULLS SAWMILL ROAD,0
2012,BUNKER HILL DRIVE,0
2012,BUNNY RUN,0
2012,BUONOMO STREET,0
2012,BURBANK STREET,0
2012,BURBEN WAY,0
2012,BURCH FARM DRIVE,0
2012,BURKE TERRACE,0
2012,BURKEDALE CRESCENT,0
2012,BURKHARD PLACE,0
2012,BURLEY ROAD,0
2012,BURLEY ROAD NORTH,0
2012,BURLINGTON AVENUE,0
2012,BURLWOOD DRIVE,0
2012,BURNETT ROAD,0
2012,BURNING BRUSH DRIVE,0
2012,BURNING TREE DRIVE,0
2012,BURNING TREE LANE,0
2012,BURNINGTREE LANE,0
2012,BURR OAK DRIVE,0
2012,BURRITT ROAD,0
2012,BURROWS DRIVE,0
2012,BURROWS HILLS DRIVE,0
2012,BURROWS STREET,1
2012,BURTON PLACE,0
2012,BURWELL ROAD,0
2012,BUTCHER ROAD,0
2012,BUTLER DRIVE,0
2012,BUTLER STREET,0
2012,BUTTERFLY LANE,0
2012,BUTTERNUT DRIVE,0
2012,BUTTERWEED DRIVE,0
2012,BUTTONWOOD DRIVE,0
2012,BYERS COURT,0
2012,BYRON STREET,0
2012,C HILI AVENUE,0
2012,CABIN ROAD,0
2012,CABOT ROAD,0
2012,CADILLAC AVENUE,0
2012,CADY STREET,0
2012,CAFFERY PLACE,1
2012,CAIRN STREET,0
2012,CALEDONIA AVENUE,0
2012,CALHOUN AVENUE,0
2012,CALI RIDGE,0
2012,CALIFORNIA DRIVE,0
2012,CALIHAN PARK,0
2012,CALKINS ROAD,1
2012,CALLINGHAM ROAD,0
2012,CALM LAKE CIRCLE,0
2012,CALUMET STREET,0
2012,CALVER COURT,0
2012,CAMBORNE CIRCLE,0
2012,CAMBRAY DRIVE,0
2012,CAMBRIA ROAD,0
2012,CAMBRIA STREET,0
2012,CAMBRIC CIRCLE,0
2012,CAMBRIDGE COURT,0
2012,CAMBRIDGE PLACE,0
2012,CAMBRIDGE ROAD,0
2012,CAMBRIDGE STREET,0
2012,CAMDEN STREET,0
2012,CAMELOT DRIVE,0
2012,CAMERON COURT,0
2012,CAMERON HILL DRIVE,0
2012,CAMERON STREET,0
2012,CAMILLE DRIVE,0
2012,CAMOMILE LANE,0
2012,CAMP ROAD,0
2012,CAMPBELL PARK,0
2012,CAMPBELL ROAD,0
2012,CAMPBELL STREET,0
2012,CAMPFIRE ROAD NORTH,0
2012,CAMPFIRE ROAD SOUTH,0
2012,CAMPFIRE ROAD,0
2012,CAMPUS DRIVE,0
2012,CANAL LANDING BOULEVARD,0
2012,CANAL PARK PLACE,0
2012,CANAL ROAD,0
2012,CANAL STREET,0
2012,CANAL VIEW BOULEVARD,0
